Señal_0;Señal_1;Target
-19,89;0,68;Estable
0,02;0,69;Alerta
0,00;0,27;Estable
0,01;0,80;Alerta
0,00;0,65;Estable
12,08;0,67;Alerta
0,02;0,96;Alarma
5,88;0,82;Alarma
0,01;0,64;Estable
0,02;0,85;Alarma
12,53;0,78;Alerta
0,02;0,98;Alarma
0,02;0,17;Estable
0,00;0,97;Alerta
0,02;0,71;Alerta
0,01;0,08;Estable
0,00;0,49;Estable
0,15;0,94;Alarma
2,79;0,39;Estable
0,00;0,25;Estable
0,00;0,59;Estable
0,92;0,65;Alerta
0,02;0,17;Estable
0,02;0,90;Alarma
0,01;0,75;Alerta
0,02;0,99;Alerta
0,02;0,92;Alarma
0,01;0,65;Estable
20,61;0,67;Alerta
0,00;0,75;Alerta
0,62;0,78;Alerta
0,01;0,07;Estable
0,00;0,82;Estable
1,00;0,72;Alerta
0,00;0,62;Estable
0,54;0,68;Alerta
0,00;0,81;Estable
0,00;0,66;Estable
0,00;0,22;Estable
0,22;0,74;Alerta
2,44;0,87;Alarma
0,01;0,83;Alerta
0,00;0,68;Alerta
0,02;0,78;Alerta
0,02;0,25;Estable
0,31;0,73;Alerta
0,00;0,92;Alerta
11,17;0,99;Alarma
0,15;0,94;Alarma
0,81;0,59;Estable
-13,35;0,49;Estable
0,02;0,65;Estable
-14,48;0,84;Estable
0,83;0,57;Estable
-10,09;0,83;Estable
0,01;0,75;Alerta
9,33;0,86;Alarma
0,00;0,82;Estable
0,02;0,74;Alerta
0,01;0,83;Alerta
0,00;0,79;Estable
0,00;0,65;Alerta
0,58;0,53;Estable
0,00;0,08;Estable
0,00;0,68;Estable
0,11;0,70;Alerta
10,15;0,63;Estable
0,01;0,19;Estable
0,29;0,65;Alerta
0,00;0,79;Estable
0,31;0,80;Alerta
0,01;0,73;Alerta
0,02;0,16;Estable
16,25;0,54;Estable
0,01;0,42;Estable
0,84;0,59;Estable
0,01;0,27;Estable
0,00;0,86;Estable
0,02;0,85;Alarma
0,00;0,66;Alerta
0,00;0,78;Estable
-17,31;0,82;Estable
0,05;0,70;Alerta
4,57;0,75;Alerta
0,02;0,98;Alerta
0,00;0,70;Alerta
0,01;0,90;Alerta
0,00;0,47;Estable
0,56;0,97;Alarma
0,00;0,78;Estable
0,00;0,95;Estable
0,02;0,25;Estable
0,02;0,64;Estable
-6,01;0,67;Estable
0,70;0,96;Alarma
-11,48;0,62;Estable
16,26;0,65;Estable
0,02;0,53;Estable
0,00;0,16;Estable
0,01;0,94;Alerta
0,01;0,73;Alerta
15,97;0,86;Alarma
0,01;0,84;Alerta
0,00;0,73;Alerta
0,00;0,58;Estable
0,01;0,75;Alerta
0,00;0,69;Alerta
0,01;0,72;Alerta
0,30;0,79;Alerta
-5,84;0,81;Estable
0,01;0,75;Alerta
0,00;0,72;Estable
15,80;0,38;Estable
-3,30;0,51;Estable
0,02;0,69;Alerta
0,12;0,79;Alerta
0,78;0,24;Estable
0,64;0,96;Alarma
0,13;0,75;Alerta
0,00;0,65;Estable
0,00;0,90;Estable
0,02;0,84;Alarma
0,68;0,76;Alerta
0,00;0,79;Estable
0,01;0,92;Alerta
0,00;0,81;Estable
0,00;0,64;Estable
0,00;0,78;Estable
5,87;0,95;Alarma
0,95;0,68;Alerta
0,72;0,69;Alerta
0,00;0,66;Alerta
0,01;0,78;Alerta
0,41;0,67;Alerta
0,00;0,25;Estable
0,00;0,79;Estable
0,01;0,73;Alerta
11,56;0,91;Alarma
0,01;0,75;Alerta
-10,21;0,58;Estable
0,00;0,79;Alerta
0,00;0,80;Estable
0,00;0,09;Estable
0,00;0,18;Estable
0,18;0,65;Alerta
0,02;0,50;Estable
0,00;0,12;Estable
0,02;0,44;Estable
0,00;0,46;Estable
0,02;0,91;Alerta
0,01;0,49;Estable
0,00;0,24;Estable
0,00;0,91;Estable
0,00;0,68;Alerta
0,00;0,67;Estable
0,00;0,98;Estable
0,00;0,15;Estable
0,79;0,54;Estable
0,00;0,74;Alerta
0,00;0,98;Estable
0,50;0,98;Alarma
3,55;0,45;Estable
0,00;0,81;Estable
0,00;0,78;Estable
0,01;0,45;Estable
0,00;0,75;Estable
-13,89;0,25;Estable
13,55;0,62;Estable
0,00;0,92;Alerta
0,15;0,99;Alarma
18,88;0,65;Estable
0,02;0,74;Alerta
0,00;0,22;Estable
0,00;0,66;Estable
0,69;0,58;Estable
0,01;0,97;Alerta
0,01;0,38;Estable
0,73;0,39;Estable
0,00;0,71;Estable
0,01;0,42;Estable
0,00;0,92;Estable
-6,51;0,75;Estable
0,01;0,18;Estable
0,14;0,94;Alarma
0,00;0,92;Estable
0,33;0,73;Alerta
0,02;0,81;Alarma
0,02;0,21;Estable
0,00;0,62;Estable
0,00;0,86;Estable
0,00;0,83;Estable
0,69;0,66;Alerta
0,00;0,95;Estable
0,00;0,62;Estable
0,00;0,86;Estable
0,00;0,97;Estable
19,83;0,96;Alarma
0,00;0,99;Estable
0,01;0,95;Alerta
0,01;0,86;Alerta
0,02;0,93;Alarma
-7,10;0,75;Estable
0,02;0,98;Alarma
0,02;0,87;Alerta
0,00;0,67;Estable
0,00;0,70;Estable
-8,85;0,67;Estable
-19,96;0,10;Estable
0,01;0,19;Estable
11,24;0,74;Alerta
0,00;0,74;Alerta
-12,91;0,80;Estable
0,00;0,27;Estable
0,02;0,93;Alerta
0,00;0,78;Estable
0,00;0,40;Estable
0,00;0,39;Estable
0,11;0,45;Estable
0,93;0,78;Alerta
12,24;0,85;Alarma
0,02;0,95;Alerta
0,10;0,95;Alarma
0,00;0,69;Alerta
0,05;0,74;Alerta
0,01;0,99;Alerta
-16,96;0,41;Estable
0,02;0,86;Alarma
0,00;0,68;Estable
0,01;0,16;Estable
0,15;0,24;Estable
0,00;0,81;Estable
0,00;0,69;Alerta
0,01;0,62;Estable
0,01;0,43;Estable
0,00;0,12;Estable
0,00;0,49;Estable
19,27;0,72;Alerta
0,16;0,98;Alarma
0,01;0,38;Estable
0,00;0,47;Estable
0,00;0,80;Estable
0,00;0,70;Estable
0,00;0,90;Estable
0,00;0,92;Estable
0,00;0,39;Estable
0,31;0,65;Estable
11,12;0,93;Alarma
0,00;0,30;Estable
0,00;0,14;Estable
0,02;0,90;Alerta
5,82;0,90;Alarma
0,00;0,06;Estable
0,00;0,47;Estable
0,02;0,99;Alerta
0,02;1,00;Alarma
-10,78;0,70;Estable
0,00;0,73;Estable
24,01;0,78;Alerta
0,01;0,97;Alerta
0,01;0,74;Alerta
0,01;0,17;Estable
0,01;0,76;Alerta
0,01;0,14;Estable
0,00;0,58;Estable
0,02;0,77;Alerta
0,00;0,69;Estable
0,00;0,13;Estable
0,80;0,64;Estable
0,43;0,47;Estable
0,04;0,72;Alerta
0,00;0,81;Estable
0,06;0,68;Alerta
-8,05;0,34;Estable
15,66;0,89;Alarma
0,02;0,90;Alarma
0,59;0,88;Alarma
0,01;0,68;Alerta
0,02;0,15;Estable
0,01;0,75;Alerta
0,02;0,65;Estable
0,00;0,73;Alerta
0,11;0,97;Alarma
0,00;0,15;Estable
0,02;0,75;Alerta
0,31;0,64;Estable
0,00;0,36;Estable
0,02;0,87;Alarma
0,01;0,34;Estable
0,44;0,82;Alarma
0,02;0,92;Alerta
0,00;0,98;Estable
0,02;0,85;Alarma
0,01;0,80;Alerta
0,01;0,79;Alerta
0,00;0,61;Estable
0,01;0,52;Estable
0,01;0,83;Alerta
0,00;0,95;Estable
0,00;0,44;Estable
-14,51;0,74;Estable
0,00;0,92;Estable
0,00;0,70;Alerta
0,01;0,70;Alerta
20,47;0,67;Alerta
0,00;0,82;Estable
0,01;0,82;Alerta
-10,62;0,72;Estable
0,00;0,33;Estable
0,02;0,68;Alerta
0,15;0,39;Estable
0,73;0,47;Estable
0,00;0,75;Estable
0,01;0,45;Estable
0,00;0,68;Estable
0,02;0,45;Estable
0,00;0,30;Estable
5,86;0,73;Alerta
0,55;0,72;Alerta
0,01;0,70;Alerta
0,02;0,06;Estable
0,00;0,78;Estable
0,00;0,98;Estable
0,01;0,81;Alerta
0,00;0,79;Estable
0,02;0,74;Alerta
0,02;0,97;Alerta
0,02;0,97;Alerta
0,02;0,31;Estable
0,00;0,35;Estable
1,38;0,89;Alarma
0,01;0,93;Alerta
7,05;0,86;Alarma
0,98;0,30;Estable
0,01;0,84;Alerta
17,07;0,64;Estable
0,00;0,67;Estable
0,01;0,91;Alerta
0,00;0,95;Estable
0,02;0,26;Estable
0,02;0,49;Estable
0,02;0,69;Alerta
12,41;0,28;Estable
0,91;0,70;Alerta
0,01;0,81;Alerta
0,05;0,33;Estable
0,00;0,88;Estable
0,11;0,78;Alerta
16,64;0,99;Alarma
5,13;0,98;Alarma
18,69;0,24;Estable
0,00;0,01;Estable
0,13;0,52;Estable
0,01;0,53;Estable
0,44;0,76;Alerta
0,00;0,84;Alerta
16,19;0,99;Alarma
0,00;1,00;Estable
0,08;0,24;Estable
0,01;0,67;Alerta
2,87;0,73;Alerta
-8,41;0,76;Estable
0,00;0,99;Estable
0,64;0,65;Estable
0,01;0,97;Alerta
0,02;0,72;Alerta
0,00;0,26;Estable
0,00;0,31;Estable
0,00;0,66;Estable
17,89;0,92;Alarma
0,00;0,71;Estable
9,63;0,25;Estable
0,02;0,78;Alerta
0,00;0,89;Estable
1,03;0,92;Alarma
0,02;0,75;Alerta
0,02;0,82;Alarma
0,01;0,98;Alerta
0,00;0,77;Estable
0,30;0,69;Alerta
0,01;0,52;Estable
0,00;0,97;Alerta
0,01;0,95;Alerta
0,00;0,46;Estable
0,01;0,72;Alerta
0,00;0,90;Estable
0,00;0,78;Estable
0,00;0,56;Estable
0,02;0,08;Estable
0,00;0,53;Estable
24,01;0,55;Estable
0,00;1,00;Alerta
0,02;0,37;Estable
0,01;0,66;Alerta
0,02;0,75;Alerta
0,00;0,82;Estable
0,00;0,86;Alerta
0,01;0,75;Alerta
0,00;0,68;Alerta
0,31;0,42;Estable
0,00;0,94;Alerta
0,99;0,87;Alarma
0,63;0,26;Estable
0,01;0,93;Alerta
0,00;0,84;Estable
0,00;0,92;Alerta
0,00;0,98;Alerta
0,04;0,11;Estable
0,01;0,23;Estable
0,65;0,03;Estable
0,01;0,81;Alerta
17,22;0,34;Estable
0,01;0,85;Alerta
0,00;0,98;Estable
0,00;0,77;Alerta
0,01;0,92;Alerta
0,02;0,60;Estable
0,00;0,93;Estable
0,01;0,89;Alerta
0,00;0,39;Estable
0,00;0,57;Estable
0,01;0,68;Alerta
0,00;0,73;Estable
0,00;0,54;Estable
0,01;0,66;Alerta
0,00;0,90;Estable
0,02;0,60;Estable
0,00;0,77;Alerta
14,92;0,56;Estable
0,63;0,97;Alarma
0,02;0,53;Estable
0,01;0,96;Alerta
0,95;0,75;Alerta
-21,84;0,32;Estable
18,89;0,35;Estable
0,11;0,74;Alerta
0,00;0,74;Estable
0,02;0,46;Estable
0,00;0,90;Estable
5,38;0,78;Alerta
0,02;0,67;Alerta
0,00;0,84;Estable
0,00;0,73;Alerta
15,49;0,23;Estable
0,02;0,79;Alerta
0,00;0,36;Estable
0,00;0,76;Estable
0,02;0,99;Alerta
0,00;0,74;Alerta
0,19;0,98;Alarma
0,00;0,75;Estable
0,01;0,81;Alerta
0,00;0,92;Alerta
0,00;0,88;Estable
0,02;0,47;Estable
-22,11;0,74;Estable
0,02;0,72;Alerta
0,00;0,80;Estable
0,00;0,55;Estable
0,02;0,80;Alerta
0,00;0,69;Estable
0,96;0,39;Estable
0,00;0,15;Estable
0,00;0,91;Estable
10,15;0,81;Alarma
0,02;0,64;Estable
0,00;0,94;Estable
0,00;0,97;Estable
0,00;0,91;Estable
0,18;0,75;Alerta
0,02;0,74;Alerta
-24,41;0,65;Estable
0,02;0,79;Alerta
0,01;0,84;Alerta
0,01;0,70;Alerta
0,00;0,47;Estable
0,01;0,98;Alerta
0,56;0,76;Alerta
0,77;0,85;Alarma
0,39;0,66;Alerta
0,01;0,98;Alerta
0,00;0,01;Estable
0,10;0,29;Estable
0,00;0,97;Estable
0,02;0,38;Estable
0,01;0,98;Alerta
0,00;0,82;Estable
0,02;0,89;Alerta
0,02;0,66;Alerta
0,00;0,66;Estable
0,04;0,37;Estable
0,00;0,48;Estable
0,02;0,25;Estable
0,02;0,78;Alerta
0,01;0,81;Alerta
10,35;0,52;Estable
0,02;0,27;Estable
-24,63;0,70;Estable
0,01;0,32;Estable
0,02;0,30;Estable
0,02;0,05;Estable
0,01;0,89;Alerta
0,00;0,77;Estable
0,00;0,37;Estable
7,25;0,34;Estable
0,01;0,71;Alerta
0,01;0,10;Estable
0,02;0,99;Alarma
0,01;0,70;Alerta
0,02;0,86;Alerta
-12,25;0,79;Estable
0,00;0,75;Estable
0,00;0,46;Estable
0,00;0,63;Estable
0,00;0,80;Estable
0,00;0,83;Alerta
0,01;0,99;Alerta
22,09;0,97;Alarma
0,00;0,77;Estable
-22,96;0,98;Estable
-6,09;0,67;Estable
1,91;0,41;Estable
0,02;0,69;Alerta
0,02;0,75;Alerta
0,00;0,69;Estable
0,72;1,00;Alarma
0,00;0,89;Estable
0,00;0,31;Estable
0,40;0,90;Alarma
0,02;0,01;Estable
3,60;1,00;Alarma
0,02;0,01;Estable
0,02;0,75;Alerta
0,01;0,82;Alerta
